gvkey,fyear,split
61494,2004,train
61494,2002,train
5523,2011,train
61494,2016,train
30612,1998,train
5523,1996,train
5523,1999,train
7575,1998,train
4186,2000,train
61494,2013,train
7575,2008,train
7575,2012,train
5523,2001,train
8549,2009,train
30612,2015,train
5523,2004,train
3157,2000,train
4186,2019,train
8549,2004,train
4186,2010,train
3157,2016,validation
30612,1996,validation
61494,2015,validation
8549,2008,validation
30612,2009,validation
8858,1998,validation
30612,2020,validation
3157,1995,validation
5523,2008,validation
3157,2011,validation
